cve_mun_full,Municipio,Escuelas,Alumnos,Alumnos Mujeres,Alumnos Hombres,Docentes¹,no_asistencia_3_5_pct,no_asistencia_6_11_pct,no_asistencia_12_14_pct,asistencia_15_17_pct,analfabetismo_pct,grado_escolaridad,marginacion,electricidad_pct,computadoras_pct,internet_pct,infra_adaptada_pct,material_adaptado_pct,agua_potable_pct,lavabo_manos_pct,indice_infra_sep,asistencia_primaria_pct,NOM_MUN_CLEAN,temp_media_anual,ZON_TER,escuelas_infied,luz_con_pct_infied,agua_red_pct_infied,bebederos_con_pct_infied,techumbre_con_pct_infied,ambito_urbano_pct_infied,ambito_rural_pct_infied,ambito_predominante_infied,control_predominante_infied
02004,TECATE,5,2205,1139,1066,17,55.1,7.1,8.7,77.1,1.5,10.18,Muy bajo,99.1,76.3,74.4,50.6,22.3,98.2,96.4,0.7,92.9,Tijuana,17.0,Templado,,,,,,,,,
02005,TIJUANA,82,6851,3539,3312,284,51.7,7.0,9.1,75.4,2.0,9.58,Muy bajo,98.8,70.6,76.5,56.5,32.9,89.4,98.8,0.7,93.0,Playas de Rosarito,17.0,Templado,,,,,,,,,
03001,COMONDÚ,1,4520,2879,1641,53,36.6,2.8,5.0,83.3,4.1,9.27,Muy bajo,86.9,66.7,22.6,34.5,15.5,88.1,91.7,0.6,97.2,Comondú,19.0,Semicálido,22.0,100.0,95.45,27.27,100.0,40.91,59.09,RURAL,PÚBLICO
03002,LA PAZ,12,13982,9709,4273,233,36.9,4.5,7.9,76.8,4.1,9.13,Muy bajo,86.1,71.3,41.6,33.7,19.8,80.2,90.1,0.6,95.5,Mulegé,23.0,Cálido,4.0,100.0,100.0,25.0,100.0,25.0,75.0,RURAL,PÚBLICO
03003,LOS CABOS,7,3955,2970,985,79,30.8,2.7,4.5,83.8,1.8,11.07,Muy bajo,86.6,65.9,40.1,58.6,34.1,88.4,92.7,0.7,97.3,La Paz,21.0,Semicálido,28.0,100.0,96.43,35.71,96.43,46.43,53.57,RURAL,PÚBLICO
04001,CALAKMUL,2,3214,2743,471,20,13.9,1.8,5.0,80.6,9.2,9.4,Bajo,100.0,56.1,24.4,43.9,7.3,90.2,92.7,0.6,98.2,Calkiní,25.0,Cálido,1.0,100.0,100.0,0.0,100.0,0.0,100.0,RURAL,PÚBLICO
04002,CALKINÍ,2,10513,9201,1312,65,23.4,2.3,5.0,82.0,3.3,10.72,Muy bajo,94.8,63.4,40.8,54.5,28.8,94.2,86.4,0.7,97.7,Campeche,25.0,Cálido,1.0,100.0,100.0,100.0,100.0,100.0,0.0,URBANO,PÚBLICO
04003,CAMPECHE,22,4810,3365,1445,94,38.2,5.6,8.9,77.1,3.9,10.26,Muy bajo,91.2,62.3,41.4,47.0,20.9,80.5,81.4,0.6,94.4,Carmen,27.0,Muy cálido,1.0,100.0,100.0,0.0,0.0,0.0,100.0,RURAL,PÚBLICO
04004,CANDELARIA,2,6385,4668,1717,48,35.2,3.9,10.3,68.9,8.8,8.12,Bajo,86.2,44.0,10.3,37.9,18.1,88.8,81.0,0.5,96.1,Champotón,27.0,Muy cálido,2.0,100.0,100.0,0.0,50.0,0.0,100.0,RURAL,PÚBLICO
04005,CARMEN,9,9825,6975,2850,59,22.1,10.3,11.6,79.4,8.4,9.27,Bajo,100.0,62.1,17.2,55.2,13.8,93.1,82.8,0.6,89.7,Hecelchakán,25.0,Cálido,1.0,100.0,100.0,0.0,100.0,0.0,100.0,RURAL,PÚBLICO
04006,CHAMPOTÓN,4,11734,9365,2369,52,39.4,17.0,25.2,56.0,8.3,7.5,Medio,96.5,71.9,7.0,33.3,10.5,89.5,89.5,0.6,83.0,Hopelchén,25.0,Cálido,2.0,100.0,100.0,0.0,0.0,0.0,100.0,RURAL,PÚBLICO
04007,DZITBALCHÉ,2,2183,1913,270,20,20.1,4.1,6.9,73.3,7.8,8.46,Medio,83.7,41.9,0.0,11.6,14.0,46.5,65.1,0.4,95.9,Palizada,27.0,Muy cálido,2.0,100.0,50.0,0.0,50.0,0.0,100.0,RURAL,PÚBLICO
04008,ESCÁRCEGA,2,5807,4185,1622,44,26.5,9.2,9.0,76.5,8.8,8.75,Bajo,84.6,69.2,7.7,38.5,30.8,69.2,92.3,0.6,90.8,Tenabo,25.0,Cálido,,,,,,,,,
04009,HECELCHAKÁN,2,6070,4103,1967,34,37.0,4.3,12.8,62.1,8.9,8.18,Bajo,91.8,56.7,6.2,30.9,11.3,83.5,80.4,0.5,95.7,Escárcega,25.0,Cálido,,,,,,,,,
04010,HOPELCHÉN,2,4640,3996,644,26,16.0,3.5,13.0,60.3,13.2,7.43,Alto,94.5,71.4,2.2,13.2,13.2,38.5,75.8,0.4,96.5,Calakmul,23.0,Cálido,3.0,100.0,66.67,0.0,0.0,0.0,100.0,RURAL,PÚBLICO
04011,PALIZADA,2,1979,1318,661,26,37.6,5.7,17.1,52.3,11.2,7.25,Alto,78.7,41.1,4.5,15.3,25.2,75.2,78.7,0.5,94.3,Candelaria,23.0,Cálido,,,,,,,,,
04012,SEYBAPLAYA,2,614,602,12,20,25.5,3.0,8.2,72.4,6.2,9.0,Bajo,80.0,50.0,10.0,80.0,40.0,100.0,90.0,0.6,97.0,Seybaplaya,25.0,Cálido,,,,,,,,,
04013,TENABO,2,3416,2943,473,20,,,,,,,,,,,,,,,,,Dzitbalché,25.0,Cálido,,,,,,,,,
05001,ACUÑA,4,3479,1884,1595,44,39.6,5.1,2.6,82.4,2.2,8.94,Muy bajo,100.0,50.0,0.0,25.0,25.0,100.0,100.0,0.6,94.9,Abasolo,21.0,Semicálido,,,,,,,,,
05002,FRANCISCO I. MADERO,1,10,4,6,1,49.6,3.8,7.5,71.9,1.7,9.4,Muy bajo,97.0,35.0,35.0,55.0,19.0,97.0,81.0,0.6,96.2,Acuña,21.0,Semicálido,,,,,,,,,
05003,FRONTERA,1,1355,1237,118,22,46.8,8.4,10.9,66.1,2.1,9.47,Muy bajo,100.0,57.9,36.8,68.4,31.6,94.7,94.7,0.7,91.6,Allende,21.0,Semicálido,,,,,,,,,
05004,MATAMOROS,1,60,43,17,3,35.2,3.1,8.3,70.9,3.7,9.82,Muy bajo,100.0,68.8,14.6,37.5,16.7,75.0,81.3,0.6,96.9,Arteaga,15.0,Templado,3.0,100.0,100.0,66.67,33.33,100.0,0.0,URBANO,PÚBLICO
05005,MONCLOVA,6,3849,1884,1965,61,52.3,12.6,18.1,64.5,7.4,7.74,Bajo,100.0,75.0,0.0,75.0,25.0,75.0,100.0,0.6,87.4,Candela,19.0,Semicálido,,,,,,,,,
05006,MÚZQUIZ,1,988,53,935,11,39.5,4.4,6.5,78.4,1.6,9.63,Muy bajo,100.0,43.3,36.7,53.3,16.7,86.7,76.7,0.6,95.6,Castaños,17.0,Templado,,,,,,,,,
05007,PIEDRAS NEGRAS,7,3338,2176,1162,51,37.5,5.2,9.7,67.8,3.6,8.91,Muy bajo,86.7,70.0,13.3,20.0,0.0,53.3,63.3,0.4,94.8,Cuatro Ciénegas,17.0,Templado,,,,,,,,,
05008,RAMOS ARIZPE,2,6504,3065,3439,84,32.6,3.7,9.5,65.7,3.4,8.28,Bajo,100.0,60.0,0.0,40.0,20.0,60.0,80.0,0.5,96.3,Escobedo,21.0,Semicálido,,,,,,,,,
05009,SALTILLO,19,9809,7270,2539,184,43.9,4.1,9.4,68.1,2.9,9.38,Muy bajo,93.0,32.4,15.5,49.3,19.7,84.5,85.9,0.5,95.9,Francisco I. Madero,21.0,Semicálido,,,,,,,,,
05010,SAN JUAN DE SABINAS,2,970,79,891,25,44.5,4.1,7.7,74.3,1.5,10.0,Muy bajo,97.9,27.7,34.0,76.6,25.5,95.7,80.9,0.6,95.9,Frontera,19.0,Semicálido,,,,,,,,,
05011,SAN PEDRO,2,1067,992,75,30,39.8,4.0,8.4,72.4,4.7,8.41,Muy bajo,100.0,45.7,8.6,31.4,8.6,77.1,77.1,0.5,96.0,General Cepeda,15.0,Templado,2.0,100.0,100.0,50.0,50.0,50.0,50.0,RURAL,PÚBLICO
05012,TORREÓN,32,10158,5169,4989,234,50.0,9.2,6.8,67.5,6.9,7.79,Bajo,100.0,71.4,14.3,42.9,14.3,100.0,100.0,0.6,90.8,Guerrero,21.0,Semicálido,,,,,,,,,
06001,ARMERÍA,2,759,307,452,8,36.1,5.7,13.7,65.6,7.1,7.77,Bajo,100.0,57.1,39.3,71.4,32.1,100.0,100.0,0.7,94.3,Armería,23.0,Cálido,,,,,,,,,
06002,COLIMA,48,4491,1996,2495,215,29.7,3.2,5.8,81.7,2.4,10.83,Muy bajo,99.3,74.3,50.7,68.4,30.9,97.4,94.7,0.7,96.8,Colima,27.0,Muy cálido,,,,,,,,,
06003,COMALA,4,82,82,0,10,31.5,3.1,9.3,73.1,3.2,9.09,Muy bajo,100.0,76.0,40.0,80.0,40.0,88.0,92.0,0.7,96.9,Comala,25.0,Cálido,,,,,,,,,
06004,COQUIMATLÁN,5,81,81,0,8,35.3,4.4,9.9,69.2,5.9,8.48,Muy bajo,100.0,63.0,37.0,66.7,11.1,92.6,92.6,0.7,95.6,Coquimatlán,21.0,Semicálido,,,,,,,,,
06005,CUAUHTÉMOC,9,85,85,0,19,36.0,3.6,10.4,75.2,3.8,9.22,Muy bajo,96.8,77.4,51.6,71.0,32.3,87.1,93.5,0.7,96.4,Cuauhtémoc,25.0,Cálido,,,,,,,,,
06006,IXTLAHUACÁN,4,36,33,3,5,21.9,2.6,7.2,72.9,7.1,8.01,Bajo,94.1,64.7,17.6,52.9,41.2,88.2,82.4,0.6,97.4,Ixtlahuacán,27.0,Muy cálido,,,,,,,,,
06007,MANZANILLO,18,1853,889,964,70,36.6,4.8,8.1,80.4,2.4,10.11,Muy bajo,98.8,68.8,46.8,56.1,22.0,91.9,93.6,0.7,95.2,Manzanillo,23.0,Cálido,,,,,,,,,
06008,MINATITLÁN,1,12,12,0,1,37.9,4.7,8.5,77.9,5.2,8.85,Muy bajo,100.0,78.3,17.4,39.1,13.0,82.6,91.3,0.6,95.3,Minatitlán,25.0,Cálido,,,,,,,,,
06009,TECOMÁN,19,278,255,23,46,42.0,7.8,16.8,64.0,7.4,8.22,Muy bajo,94.3,52.4,34.3,47.6,23.8,95.2,95.2,0.6,92.2,Tecomán,23.0,Cálido,,,,,,,,,
06010,VILLA DE ÁLVAREZ,18,344,341,3,55,29.0,2.5,4.6,84.2,1.3,11.56,Muy bajo,100.0,72.0,48.0,74.7,32.0,97.3,93.3,0.7,97.5,Villa de Álvarez,25.0,Cálido,,,,,,,,,
07001,ACACOYAGUA,1,98,56,42,1,37.5,7.6,16.1,61.4,10.8,7.12,Medio,83.3,12.5,2.1,4.2,22.9,41.7,47.9,0.3,92.4,Acacoyagua,25.0,Cálido,,,,,,,,,
07002,ACALA,1,29,16,13,1,35.5,8.0,20.3,63.9,15.9,7.26,Medio,91.7,13.9,5.6,5.6,13.9,52.8,75.0,0.4,92.0,Acala,25.0,Cálido,,,,,,,,,
07003,ÁNGEL ALBINO CORZO,7,1190,694,496,47,31.1,6.7,15.5,66.9,13.7,7.15,Alto,93.2,16.9,3.4,8.5,8.5,35.6,67.8,0.3,93.3,Acapetahua,23.0,Cálido,1.0,100.0,100.0,0.0,100.0,0.0,100.0,RURAL,PÚBLICO
07004,ARRIAGA,4,805,719,86,37,46.4,10.0,22.8,49.6,23.0,6.05,Alto,96.8,15.8,2.1,1.1,4.2,41.1,47.4,0.3,90.0,Altamirano,17.0,Templado,,,,,,,,,
07005,BERRIOZÁBAL,2,4567,2798,1769,104,24.2,6.1,20.2,51.5,17.1,6.58,Alto,85.8,16.0,0.9,0.0,17.0,25.5,49.1,0.3,93.9,Amatán,17.0,Templado,2.0,100.0,100.0,0.0,0.0,0.0,100.0,RURAL,PÚBLICO
07006,BOCHIL,3,38,17,21,6,41.0,4.5,20.2,57.9,15.4,6.55,Alto,94.8,27.8,1.0,0.0,6.2,57.7,50.5,0.3,95.5,Amatenango de la Frontera,19.0,Semicálido,,,,,,,,,
07007,CACAHOATÁN,2,1138,793,345,28,37.4,5.3,32.7,34.8,26.5,5.15,Muy alto,92.0,20.0,0.0,0.0,4.0,36.0,60.0,0.3,94.7,Amatenango del Valle,23.0,Cálido,,,,,,,,,
07008,CATAZAJÁ,5,3182,1665,1517,84,49.4,8.5,17.2,62.3,17.6,6.66,Alto,92.3,21.2,0.0,7.7,1.9,59.6,57.7,0.3,91.5,Ángel Albino Corzo,21.0,Semicálido,,,,,,,,,
07009,CHAMULA,2,3509,2210,1299,93,25.1,4.6,10.0,77.4,8.4,8.45,Medio,93.2,28.8,11.9,11.9,5.1,52.5,67.8,0.4,95.4,Arriaga,27.0,Muy cálido,,,,,,,,,
07010,CHIAPA DE CORZO,6,3169,1585,1584,115,42.5,3.3,17.5,47.2,10.8,6.49,Alto,97.1,22.9,2.9,0.0,11.4,25.7,45.7,0.3,96.7,Bejucal de Ocampo,19.0,Semicálido,,,,,,,,,
07011,CHICOMUSELO,1,14,12,2,2,32.5,4.7,12.2,64.7,10.1,6.84,Alto,91.7,12.5,0.0,0.0,15.3,45.8,56.9,0.3,95.3,Bella Vista,15.0,Templado,,,,,,,,,
07012,CINTALAPA DE FIGUEROA,5,2333,1485,848,81,42.5,9.2,20.1,55.7,10.0,8.1,Medio,89.8,30.6,12.0,13.9,28.7,39.8,52.8,0.4,90.8,Berriozábal,25.0,Cálido,,,,,,,,,
07013,COMITÁN DE DOMÍNGUEZ,23,6153,3767,2386,153,22.3,3.2,18.3,58.1,14.0,7.46,Alto,85.6,15.6,4.4,3.3,12.2,43.3,53.3,0.3,96.8,Bochil,21.0,Semicálido,1.0,100.0,0.0,0.0,100.0,0.0,100.0,RURAL,PÚBLICO
07014,COPAINALÁ,2,2660,1338,1322,127,45.6,8.3,26.1,40.9,22.5,5.91,Alto,91.5,25.5,0.0,2.1,2.1,44.7,55.3,0.3,91.7,El Bosque,17.0,Templado,,,,,,,,,
07015,ESCUINTLA,5,626,361,265,13,43.7,5.2,10.4,76.4,9.9,8.26,Medio,95.8,12.5,2.8,5.6,2.8,58.3,51.4,0.3,94.8,Cacahoatán,19.0,Semicálido,,,,,,,,,
07016,FRONTERA COMALAPA,9,144,91,53,12,28.7,8.0,11.4,77.8,12.9,7.54,Alto,86.8,28.3,3.8,1.9,11.3,43.4,58.5,0.3,92.0,Catazajá,25.0,Cálido,2.0,100.0,100.0,0.0,50.0,0.0,100.0,RURAL,PÚBLICO
07017,HUEHUETÁN,1,150,76,74,2,33.7,5.4,11.2,72.2,10.0,8.04,Medio,86.1,26.1,6.7,7.8,9.4,54.4,58.9,0.4,94.6,Cintalapa,25.0,Cálido,1.0,100.0,100.0,0.0,100.0,0.0,100.0,RURAL,PÚBLICO
07018,HUIXTLA,6,506,310,196,18,26.4,4.5,17.3,53.1,14.8,6.96,Alto,96.0,24.0,8.0,0.0,4.0,60.0,52.0,0.3,95.5,Coapilla,25.0,Cálido,1.0,100.0,100.0,0.0,100.0,0.0,100.0,RURAL,PÚBLICO
07019,JIQUIPILAS,2,2453,1712,741,67,32.7,5.7,14.7,65.6,9.1,8.55,Bajo,95.0,34.3,17.4,14.4,13.4,53.7,65.2,0.4,94.3,Comitán de Domínguez,23.0,Cálido,,,,,,,,,
07020,JITOTOL,2,6597,3409,3188,88,41.5,8.9,16.6,58.6,17.5,6.52,Alto,75.3,19.2,3.4,5.5,27.4,26.0,63.0,0.3,91.1,La Concordia,19.0,Semicálido,,,,,,,,,
07021,JUÁREZ,2,1011,581,430,27,21.3,3.3,12.6,71.8,10.7,7.84,Medio,89.7,19.1,4.4,4.4,1.5,58.8,67.6,0.4,96.7,Copainalá,27.0,Muy cálido,1.0,100.0,100.0,0.0,100.0,0.0,100.0,RURAL,PÚBLICO
07022,LA CONCORDIA,4,2458,1727,731,55,50.4,12.0,45.3,22.7,29.2,4.91,Muy alto,86.7,26.7,0.0,3.3,0.0,40.0,23.3,0.3,88.0,Chalchihuitán,21.0,Semicálido,,,,,,,,,
07023,LAS MARGARITAS,4,65,34,31,20,47.1,6.4,43.3,19.8,32.6,4.37,Muy alto,97.2,29.8,2.2,1.7,5.0,36.5,57.5,0.3,93.6,Chamula,15.0,Templado,2.0,100.0,0.0,50.0,0.0,0.0,100.0,RURAL,PÚBLICO
07024,MAPASTEPEC,8,1561,1269,292,57,37.3,4.5,19.3,48.2,22.4,6.33,Muy alto,90.3,9.7,6.5,3.2,3.2,25.8,41.9,0.3,95.5,Chanal,17.0,Templado,,,,,,,,,
07025,MAZATÁN,1,54,23,31,1,16.0,2.4,12.4,73.5,14.7,7.69,Alto,86.2,3.4,0.0,0.0,0.0,41.4,37.9,0.2,97.6,Chapultenango,19.0,Semicálido,,,,,,,,,
07026,MOTOZINTLA,5,74,62,12,5,54.2,15.2,46.5,23.5,27.6,4.89,Muy alto,95.5,30.0,0.9,0.0,7.3,41.8,47.3,0.3,84.8,Chenalhó,15.0,Templado,,,,,,,,,
07027,OCOSINGO,9,9575,5822,3753,148,33.1,6.4,11.5,72.3,9.1,8.9,Bajo,89.8,25.0,7.8,4.7,6.3,60.9,68.0,0.4,93.6,Chiapa de Corzo,25.0,Cálido,1.0,100.0,100.0,0.0,0.0,0.0,100.0,RURAL,PÚBLICO
07028,OCOZOCOAUTLA DE ESPINOSA,6,65,35,30,9,22.9,3.6,11.7,69.5,21.9,6.14,Alto,100.0,42.9,14.3,14.3,14.3,85.7,100.0,0.5,96.4,Chiapilla,25.0,Cálido,,,,,,,,,
07029,OSTUACÁN,2,849,516,333,32,25.2,5.8,3.7,71.6,11.5,7.37,Medio,100.0,23.5,5.9,5.9,5.9,35.3,100.0,0.4,94.2,Chicoasén,23.0,Cálido,,,,,,,,,
07030,OXCHUC,3,3220,2104,1116,82,31.7,4.8,14.2,63.9,16.2,6.3,Alto,94.1,14.7,1.5,0.7,27.2,30.9,73.5,0.3,95.2,Chicomuselo,23.0,Cálido,,,,,,,,,
07031,PALENQUE,4,2313,1286,1027,95,46.5,10.3,22.3,54.5,26.6,6.07,Muy alto,83.0,11.6,0.4,0.8,9.5,32.2,30.7,0.2,89.7,Chilón,19.0,Semicálido,,,,,,,,,
07032,PICHUCALCO,5,2521,1274,1247,56,34.9,6.2,12.7,68.6,12.0,7.52,Alto,92.2,7.8,2.9,6.8,24.3,44.7,37.9,0.3,93.8,Escuintla,23.0,Cálido,,,,,,,,,
07033,PIJIJIAPAN,9,1878,1574,304,68,14.3,3.5,11.8,64.9,20.0,6.4,Alto,92.5,7.5,0.0,0.0,2.5,30.0,60.0,0.3,96.5,Francisco León,23.0,Cálido,,,,,,,,,
07034,REFORMA,3,2052,1277,775,55,37.8,6.5,14.9,64.3,11.0,7.16,Medio,97.5,31.1,8.2,4.1,2.5,68.0,57.4,0.4,93.5,Frontera Comalapa,23.0,Cálido,,,,,,,,,
07035,SALTO DE AGUA,2,785,438,347,27,39.8,11.5,14.9,71.6,12.8,7.84,Alto,93.8,12.5,0.0,0.0,0.0,50.0,68.8,0.3,88.5,Frontera Hidalgo,27.0,Muy cálido,,,,,,,,,
07036,SAN CRISTÓBAL DE LAS CASAS,17,8243,4056,4187,203,35.9,3.6,18.5,61.4,8.9,7.63,Alto,96.6,13.8,0.0,0.0,3.4,34.5,48.3,0.3,96.4,La Grandeza,13.0,Templado,,,,,,,,,
07037,SIMOJOVEL,3,40,20,20,6,45.0,9.2,13.3,72.2,12.4,8.13,Alto,93.8,15.4,9.2,10.8,10.8,35.4,63.1,0.3,90.8,Huehuetán,25.0,Cálido,1.0,100.0,100.0,0.0,100.0,100.0,0.0,URBANO,PÚBLICO
07038,SOYALÓ,2,1387,584,803,43,37.3,4.4,19.3,49.3,18.3,6.3,Muy alto,95.3,20.3,3.1,1.6,4.7,42.2,45.3,0.3,95.6,Huixtán,15.0,Templado,,,,,,,,,
07039,SUCHIATE,2,414,201,213,4,25.1,4.1,27.1,48.8,21.7,6.16,Alto,92.1,25.8,1.1,0.0,6.7,47.2,52.8,0.3,95.9,Huitiupán,25.0,Cálido,,,,,,,,,
07040,TAPACHULA,23,11263,7297,3966,249,47.1,8.0,12.0,70.7,8.9,8.34,Medio,88.9,21.1,10.0,10.0,13.3,47.8,68.9,0.4,92.0,Huixtla,25.0,Cálido,1.0,100.0,100.0,0.0,0.0,0.0,100.0,RURAL,PÚBLICO
07041,TAPILULA,1,13,10,3,1,35.4,6.2,35.8,37.2,12.6,6.01,Alto,91.8,28.6,1.0,4.1,10.2,49.0,65.3,0.4,93.8,La Independencia,17.0,Templado,,,,,,,,,
07042,TECPATÁN,7,38,24,14,7,20.8,3.2,20.7,49.6,13.9,7.11,Medio,96.6,34.5,3.4,3.4,34.5,58.6,82.8,0.4,96.8,Ixhuatán,15.0,Templado,,,,,,,,,
07043,TEOPISCA,4,5803,3206,2597,150,19.8,4.6,10.7,66.7,10.2,8.45,Medio,77.3,6.8,0.0,6.8,2.3,38.6,63.6,0.3,95.4,Ixtacomitán,23.0,Cálido,,,,,,,,,
07044,TILA,2,16,9,7,2,27.0,6.4,22.3,46.0,13.4,7.09,Alto,96.2,24.5,0.0,1.9,7.5,52.8,50.9,0.3,93.6,Ixtapa,25.0,Cálido,,,,,,,,,
07045,TONALÁ,5,2650,1291,1359,123,30.9,6.0,21.1,63.9,13.3,6.98,Alto,86.4,18.2,0.0,0.0,27.3,22.7,63.6,0.3,94.0,Ixtapangajoya,23.0,Cálido,,,,,,,,,
07046,TUXTLA CHICO,5,381,311,70,11,25.1,4.2,10.5,74.9,10.5,7.74,Medio,90.4,28.9,4.8,9.6,2.4,60.2,59.0,0.4,95.8,Jiquipilas,25.0,Cálido,,,,,,,,,
07047,TUXTLA GUTIÉRREZ,72,12081,7405,4676,359,33.5,6.3,19.8,50.2,15.8,7.24,Alto,84.9,9.4,1.9,1.9,7.5,34.0,60.4,0.3,93.7,Jitotol,15.0,Templado,,,,,,,,,
07048,TUZANTÁN,2,581,374,207,19,31.0,5.1,10.6,74.9,10.3,7.85,Medio,95.5,18.2,7.6,7.6,10.6,50.0,72.7,0.4,94.9,Juárez,25.0,Cálido,,,,,,,,,
07049,UNIÓN JUÁREZ,2,1134,685,449,24,33.0,3.3,29.7,39.1,17.4,6.32,Alto,96.5,30.2,2.3,1.2,29.1,30.2,54.7,0.3,96.7,Larráinzar,13.0,Templado,1.0,100.0,100.0,0.0,0.0,0.0,100.0,RURAL,PÚBLICO
07050,VENUSTIANO CARRANZA,6,4508,3132,1376,50,33.7,9.4,13.1,71.9,12.0,7.56,Medio,75.0,18.8,6.3,12.5,0.0,62.5,68.8,0.3,90.6,La Libertad,25.0,Cálido,,,,,,,,,
07051,VILLA COMALTITLÁN,1,28,15,13,1,36.4,5.8,14.2,67.3,11.9,7.13,Medio,98.1,31.8,6.5,5.6,15.0,38.3,73.8,0.4,94.2,Mapastepec,25.0,Cálido,,,,,,,,,
07052,VILLA CORZO,2,1566,1273,293,38,36.5,6.7,28.2,42.9,18.8,6.22,Alto,85.2,18.2,1.4,2.3,7.1,35.3,47.0,0.3,93.3,Las Margaritas,25.0,Cálido,,,,,,,,,
07053,VILLAFLORES,10,3324,2335,989,70,34.8,5.6,17.6,60.3,8.1,6.84,Alto,86.7,24.4,2.2,2.2,6.7,51.1,37.8,0.3,94.4,Mazapa de Madero,13.0,Templado,,,,,,,,,
07054,YAJALÓN,3,5865,3247,2618,137,41.2,8.2,14.2,66.4,11.4,7.69,Alto,87.0,15.2,4.3,8.7,4.3,15.2,54.3,0.3,91.8,Mazatán,27.0,Muy cálido,,,,,,,,,
08001,ALDAMA,1,941,757,184,29,65.3,9.8,17.7,59.7,3.1,7.78,Muy bajo,78.3,30.4,8.7,17.4,0.0,69.6,69.6,0.4,90.2,Ahumada,17.0,Templado,1.0,100.0,100.0,0.0,0.0,0.0,100.0,RURAL,PÚBLICO
08002,ALLENDE,1,2,2,0,1,36.8,5.0,9.0,71.7,2.4,9.41,Muy bajo,96.0,48.0,44.0,28.0,8.0,84.0,96.0,0.6,95.0,Aldama,17.0,Templado,6.0,100.0,83.33,66.67,66.67,66.67,33.33,URBANO,PÚBLICO
